"slug","brand","product_name","score","priority","existing_english","selected_phase2","index_ready","official_source","official_link","concentration","sizes","notes_complete","release_year","family","scenes","seasons","editorial_guidance","verified_at","japan_purchasable","safe_link","rakuten_link","moshimo_link","official_price","rakuten_price","missing_required"
"giorgio-armani-3","Giorgio Armani","アクア ディ ジオ","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"gucci-2","Gucci","ブルーム","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"guerlain-1","Guerlain","オー インペリアル","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"guerlain-2","Guerlain","ヴェチバー","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"montblanc-1","Montblanc","レジェンド","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"montblanc-2","Montblanc","エクスプローラー","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"mugler-1","Mugler","エンジェル","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"thierry-mugler-1","Mugler","A*MEN","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"nautica-1","Nautica","ヴォヤージュ","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"versace-2","Versace","ディラン ブルー","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"versace-3","Versace","エロス フレイム","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"viktor-rolf-1","Viktor&Rolf","スパイスボム エクストリーム","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"viktor-rolf-2","Viktor&Rolf","スパイスボム","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"ysl-2","YSL","リブレ オーデパルファン","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"ysl-3","YSL","ブラック オピウム","17","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"azzaro-2","Azzaro","クローム","16","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no",""
"hugo-boss-1","Hugo Boss","ボス ボトルド","16","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no",""
"marc-jacobs-1","Marc Jacobs","デイジー","16","P2","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no",""
"aesop-1","Aesop","タシット","18","P3","yes","no","no","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","releaseYear"
"chanel-1","Chanel","アリュール オム スポーツ","20","P3","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","safeLink"
"maison-margiela-2","Maison Margiela","レイジー サンデー モーニング","20","P3","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","safeLink"
"shiro-1","SHIRO","サボン オードパルファン","19","P3","no","no","no","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","releaseYear | safeLink"
